Sample_Date_CR_format,Year,Plot,Sample_Code,Treatment,pH,Acidity,Ca,Mg,K,CICE,SA_percent,P,Zn,Cu,Fe,Mn,CE,percent_C,percent_N,CN_ratio,,
26/5/17,2017,H1,H1,H,6.5,0.16,32.46,20.68,0.16,53.46,0.3,3,1.6,23,81,44,0.2,2.62,0.26,10.1,,
25/5/17,2017,H10,H10,H,5.5,0.47,18.21,11.25,0.09,30.02,2,NA,4.7,11,58,104,0.1,2.13,0.23,9.3,,
26/5/17,2017,H2,H2,H,6.2,0.13,30.5,24.2,0.16,54.99,0.2,1,2.8,18,70,22,0.2,2.61,0.26,10,,
26/5/17,2017,H3,H3,H,5.9,0.18,25.34,20.45,0.09,46.06,0.4,1,4.2,16,108,60,0.1,2.71,0.25,10.8,,
26/5/17,2017,H4,H4,H,5.8,0.3,22.41,18.75,0.15,41.61,0.7,1,4.1,15,82,89,0.1,2.35,0.23,10.2,,
25/5/17,2017,H5,H5,H,5.4,0.46,21.41,19.14,0.12,41.13,1,NA,4.3,14,90,80,0.2,2.35,0.24,9.8,,
25/5/17,2017,H6,H6,H,6,0.24,24.59,20.77,0.11,45.71,0.5,1,3.9,17,71,75,0.1,2.38,0.24,9.9,,
25/5/17,2017,H7,H7,H,6.1,0.15,28.09,19.94,0.13,48.31,0.3,1,2.4,13,95,25,0.1,2.11,0.22,9.6,,
25/5/17,2017,H8,H8,H,5.7,0.39,27.62,13.65,0.09,41.75,0.9,NA,2.5,10,85,39,0.1,2.34,0.25,9.4,,
25/5/17,2017,H9,H9,H,5.4,1.05,17.46,9.69,0.09,28.29,4,1,4.4,13,108,116,0.1,2.39,0.24,10,,
26/5/17,2017,L1,L1,L,6.1,0.16,34.4,17.9,0.16,52.62,0.3,NA,2.2,11,54,36,0.2,2.36,0.25,9.4,,
25/5/17,2017,L10,L10,L,5.4,0.73,17.53,9.6,0.06,27.92,3,NA,4.3,9,91,124,0.1,1.96,0.22,8.9,,
26/5/17,2017,L2,L2,L,5.8,0.44,22.29,18.91,0.14,41.78,1,2,5,17,127,120,0.1,2.9,0.27,10.7,,
26/5/17,2017,L3,L3,L,5.8,0.14,27.5,23.41,0.13,51.18,0.3,NA,3.4,18,74,25,0.2,2.69,0.26,10.3,,
25/5/17,2017,L4,L4,L,5.7,0.24,24.11,14.13,0.11,38.59,0.6,1,3.5,11,77,53,0.2,2.74,0.29,9.4,,
25/5/17,2017,L5,L5,L,5.4,0.41,21.07,15.95,0.1,37.53,1,1,4.1,12,114,81,0.2,2.61,0.27,9.7,,
25/5/17,2017,L6,L6,L,5.8,0.25,26.49,18.73,0.13,45.6,0.5,3,3.6,13,87,48,0.1,2.41,0.25,9.6,,
25/5/17,2017,L7,L7,L,5.9,0.26,27.23,20.75,0.12,48.36,0.5,3,3.9,14,101,134,0.1,2.32,0.24,9.7,,
25/5/17,2017,L8,L8,L,5.4,0.54,23.35,15.95,0.07,39.91,1,1,3.9,11,84,45,0.1,2.68,0.28,9.6,,
25/5/17,2017,L9,L9,L,5.3,0.47,24.44,17.84,0.16,42.91,1,2,6,17,129,192,0.1,2.52,0.27,9.3,,
26/5/17,2017,M1,M1,M,6.5,0.14,29.47,21.78,0.17,51.56,0.3,3,2.2,16,58,40,0.1,2.63,0.25,10.5,,
25/5/17,2017,M10,M10,M,5.8,0.29,25.85,20.68,0.13,46.95,0.6,2,4.6,17,99,41,0.1,2.34,0.23,10.2,,
26/5/17,2017,M2,M2,M,6,0.23,24.45,21.14,0.14,45.96,0.5,2,3.9,15,106,130,0.1,2.85,0.26,11,,
25/5/17,2017,M3,M3,M,5.5,0.37,22.67,16.72,0.12,39.88,0.9,1,3.5,11,80,50,0.2,2.92,0.29,10.1,,
25/5/17,2017,M4,M4,M,6.2,0.16,26.57,17.59,0.1,44.42,0.4,1,1.5,10,60,28,0.1,1.92,0.2,9.6,,
25/5/17,2017,M5,M5,M,5.8,0.17,23.69,18.79,0.09,42.74,0.4,1,2.2,13,95,47,0.1,2.63,0.25,10.5,,
25/5/17,2017,M6,M6,M,5.4,0.51,27.33,15.96,0.09,43.89,1,NA,3.1,11,63,47,0.1,2.45,0.27,9.1,,
25/5/17,2017,M7,M7,M,5.6,0.32,30.04,13.31,0.15,43.82,0.7,NA,3,9,96,41,0.1,2.86,0.3,9.5,,
25/5/17,2017,M8,M8,M,5.4,0.78,16.29,9.29,0.15,26.51,3,1,5.6,12,124,303,0.1,2.63,0.27,9.7,,
25/5/17,2017,M9,M9,M,5.5,0.32,17.76,10.23,0.11,28.42,1,NA,4.9,9,100,120,0.1,2.38,0.23,10.3,,
26/5/17,2017,N1,N1,N,6.4,0.13,33.26,21.95,0.22,55.56,0.2,2,2.4,17,66,30,0.2,3.02,0.29,10.4,,
25/5/17,2017,N10,N10,N,5.3,0.49,18.96,11.48,0.12,31.05,2,NA,5.3,11,74,136,0.2,2.97,0.31,9.6,,
26/5/17,2017,N2,N2,N,6.1,0.17,32.82,18.01,0.16,51.16,0.3,NA,2,13,53,32,0.1,2.3,0.25,9.2,,
26/5/17,2017,N3,N3,N,6.3,0.15,30.72,23.89,0.11,54.87,0.3,2,2.2,17,85,22,0.1,2.39,0.23,10.4,,
26/5/17,2017,N4,N4,N,5.4,0.39,18.85,14.38,0.12,33.74,1,1,4.2,11,155,98,0.2,3.05,0.29,10.5,,
25/5/17,2017,N5,N5,N,5.6,0.24,24.94,17.14,0.11,42.43,0.6,3,4.4,15,134,76,0.1,2.66,0.27,9.9,,
25/5/17,2017,N6,N6,N,5.9,0.28,22.93,16.64,0.1,39.95,0.7,3,4.9,14,118,105,0.1,2.59,0.26,10,,
25/5/17,2017,N7,N7,N,6.2,0.15,28.14,21.4,0.13,49.82,0.3,5,3.9,16,114,79,0.1,2.21,0.22,10,,
25/5/17,2017,N8,N8,N,6.4,0.15,27.39,21.48,0.11,49.13,0.3,NA,2.3,15,65,40,0.1,2.28,0.23,9.9,,
25/5/17,2017,N9,N9,N,5.3,0.89,15.42,10.66,0.11,27.08,3,NA,5.5,12,126,150,0.1,2.28,0.24,9.5,,
13/12/18,2018,H1,H1-RA,H,5.7,0.18,25.99,13.31,0.54,40.02,0,4,3.7,9,74,74,NA,NA,NA,NA,,
13/12/18,2018,H4,H4-RA,H,5.2,1.29,19.17,16.88,0.16,37.5,3,2,5.6,15,81,81,NA,NA,NA,NA,,
13/12/18,2018,L1,L1-RB,L,5.8,0.17,29.54,17.53,0.31,47.55,0,2,2.4,10,42,42,NA,NA,NA,NA,,
13/12/18,2018,L3,L3-RB,L,5.7,0.18,22.39,21.07,0.2,43.84,0,2,2.8,14,43,43,NA,NA,NA,NA,,
13/12/18,2018,M1,M1-R4,M,6,0.16,27.48,23.25,0.3,51.19,0,4,3.1,14,45,45,NA,NA,NA,NA,,
13/12/18,2018,M2,M2-RA,M,5.4,0.3,18.78,18.11,0.28,37.47,1,3,5,14,96,96,NA,NA,NA,NA,,
13/12/18,2018,N1,N1-RB,N,6.4,0.14,30.02,18.7,0.33,49.19,0,4,1.4,9,29,29,NA,NA,NA,NA,,
13/12/18,2018,N1,N1-RA,N,6.5,0.13,28.42,18.58,0.33,47.46,0,4,1.2,9,28,28,NA,NA,NA,NA,,
13/12/18,2018,N3,N3-R4,N,6.1,0.15,27.71,23.83,0.27,51.96,0,3,3,12,34,34,NA,NA,NA,NA,,
25/4/19,2019,H1,H1,H,6.1,0.1,29.25,18.37,0.15,47.87,0.2,1,0.8,8,26,8,0.1,1.3,0.17,7.6,,
25/4/19,2019,H10,H10,H,5.4,0.76,15.2,10.85,0.1,26.91,3,NA,4.4,11,38,123,0.1,1.61,0.19,8.5,,
25/4/19,2019,H2,H2,H,6.4,0.1,31.68,26.39,0.23,58.4,0.2,2,0.7,8,8,4,0.2,1.2,0.12,10,,
25/4/19,2019,H3,H3,H,6,0.11,26.74,23.83,0.2,50.88,0.2,1,1.6,9,15,12,0.2,1.64,0.19,8.6,,
25/4/19,2019,H4,H4,H,6,0.17,20.51,18.81,0.15,39.64,0.4,1,1.8,9,23,25,0.1,1.5,0.19,7.9,,
25/4/19,2019,H5,H5,H,6,0.19,19.92,21.69,0.11,41.91,0.5,NA,1.8,10,22,28,0.1,1.72,0.2,8.6,,
25/4/19,2019,H6,H6,H,5.1,0.55,19.89,16.8,0.13,37.37,2,3,4.7,12,102,50,0.3,2.83,0.3,9.4,,
25/4/19,2019,H7,H7,H,5.6,0.16,22.35,18.77,0.13,41.41,0.4,1,2.2,12,80,30,0.3,2.42,0.25,9.7,,
25/4/19,2019,H8,H8,H,5.4,0.99,24.6,11.36,0.13,37.08,3,1,2.3,7,67,25,0.1,2.17,0.25,8.7,,
25/4/19,2019,H9,H9,H,5.1,1.08,16.21,10.71,0.07,28.07,4,NA,3.7,14,42,108,0.1,1.45,0.19,7.6,,
25/4/19,2019,L1,L1,L,6.1,0.1,33.36,24.7,0.21,58.37,0.2,2,1.5,14,20,13,0.3,1.81,0.19,9.5,,
25/4/19,2019,L10,L10,L,5.4,0.4,17.16,9.39,0.09,27.04,2,NA,2.8,8,41,70,0.1,1.61,0.21,7.7,,
25/4/19,2019,L2,L2,L,6.2,0.1,25.72,22.35,0.19,48.36,0.2,2,1.6,7,19,15,0.1,1.33,0.16,8.3,%N,C/N
25/4/19,2019,L3,L3,L,6.4,0.12,25.67,25.88,0.17,51.84,0.2,1,1.7,10,28,7,0.1,1.24,0.16,7.8,0.26,10.1
25/4/19,2019,L4,L4,L,5.3,0.43,21.16,12.81,0.1,34.5,1,1,1.8,8,55,28,0.2,2.76,0.32,8.6,0.23,9.3
25/4/19,2019,L5,L5,L,5.3,0.48,21.4,17.91,0.14,39.93,1,1,3.7,11,69,77,0.3,2.64,0.28,9.4,0.26,10
25/4/19,2019,L6,L6,L,5.2,0.38,23.66,19.72,0.2,43.96,0.9,2,3.5,10,34,47,0.2,2.29,0.24,9.5,0.25,10.8
25/4/19,2019,L7,L7,L,5.3,0.21,23.67,20.88,0.15,44.91,0.5,3,3.3,12,35,52,0.2,2.13,0.23,9.3,0.23,10.2
25/4/19,2019,L8,L8,L,5.1,0.64,21.74,16.81,0.11,39.3,2,3,3.9,13,113,79,0.4,2.74,0.3,9.1,0.24,9.8
25/4/19,2019,L9,L9,L,5.7,0.18,22.77,20.51,0.14,43.6,0.4,1,3.4,12,38,39,0.2,2.3,0.27,8.5,0.24,9.9
25/4/19,2019,M1,M1,M,6.3,0.1,30.55,26.8,0.21,57.66,0.2,1,0.9,9,16,8,0.2,1.55,0.19,8.2,0.22,9.6
25/4/19,2019,M10,M10,M,5.4,0.28,24.48,19.94,0.18,44.88,0.6,1,2.9,10,35,15,0.1,1.82,0.19,9.6,0.25,9.4
25/4/19,2019,M2,M2,M,5.9,0.12,25.36,25.09,0.2,50.77,0.2,2,2.2,10,16,7,0.1,1.6,0.16,10,0.24,10
25/4/19,2019,M3,M3,M,5.5,0.57,25.1,18.7,0.14,44.51,1,NA,1,8,25,28,0.1,1.95,0.24,8.1,0.25,9.4
25/4/19,2019,M4,M4,M,5.9,0.12,23.37,16.63,0.11,40.23,0.3,NA,1.2,9,37,23,0.2,2.56,0.26,9.8,0.22,8.9
25/4/19,2019,M5,M5,M,5.2,0.33,21.37,17.12,0.17,38.99,0.8,1,2.4,11,82,46,0.3,2.92,0.31,9.4,0.27,10.7
25/4/19,2019,M6,M6,M,5.1,0.79,22.63,15.18,0.17,38.77,2,1,3.3,10,66,47,0.4,2.44,0.27,9,0.26,10.3
25/4/19,2019,M7,M7,M,5.3,0.4,27.95,13.69,0.22,42.26,0.9,1,2.1,9,55,26,0.2,2.25,0.25,9,0.29,9.4
25/4/19,2019,M8,M8,M,5.3,1.16,15.4,10.18,0.08,26.82,4,NA,3.6,10,50,137,0.1,1.59,0.21,7.6,0.27,9.7
25/4/19,2019,M9,M9,M,5.7,0.63,14.75,7.53,0.06,22.97,3,NA,3.9,9,82,76,0.1,1.72,0.2,8.6,0.25,9.6
25/4/19,2019,N1,N1,N,6.3,0.1,29.13,20.58,0.25,50.06,0.2,3,0.8,8,14,8,0.1,1.28,0.17,7.5,0.24,9.7
25/4/19,2019,N10,N10,N,5.2,0.7,18.55,12.37,0.11,31.73,2,NA,2.2,7,34,57,0.1,1.92,0.22,8.7,0.28,9.6
25/4/19,2019,N2,N2,N,6.2,0.11,29.86,20.52,0.16,50.65,0.2,1,0.5,9,21,3,0.1,1.14,0.16,7.1,0.27,9.3
25/4/19,2019,N3,N3,N,6.3,0.1,30.62,25.07,0.22,56.01,0.2,3,1.2,9,15,6,0.2,1.84,0.19,9.7,0.25,10.5
25/4/19,2019,N4,N4,N,5.5,0.23,20.67,17.24,0.18,38.32,0.6,NA,2.2,9,43,30,0.1,1.8,0.2,9,0.23,10.2
25/4/19,2019,N5,N5,N,5.3,0.41,23.49,18.97,0.21,43.08,1,3,4.9,15,52,154,0.2,2.2,0.23,9.6,0.26,11
25/4/19,2019,N6,N6,N,5.4,0.29,20.57,16.43,0.13,37.42,0.8,3,4.4,15,64,46,0.2,2.62,0.28,9.4,0.29,10.1
25/4/19,2019,N7,N7,N,5.6,0.15,22.96,21.81,0.24,45.16,0.3,1,3.6,12,48,18,0.2,1.82,0.19,9.6,0.2,9.6
25/4/19,2019,N8,N8,N,5.8,0.14,24.33,20.05,0.15,44.67,0.3,1,1.7,11,57,42,0.3,2.98,0.3,9.9,0.25,10.5
25/4/19,2019,N9,N9,N,5.1,1.01,13.59,10.28,0.1,24.98,4,NA,4.5,10,46,133,0.1,1.62,0.2,8.1,0.27,9.1
11/2/2020,2020,Mature_forest_1,BM1,Mature_forest,5.6,0.13,4.74,1.8,0.13,6.8,2,NA,5.7,17,68,178,0.1,2.65,0.31,8.5,0.3,9.5
11/2/2020,2020,Secondary_forest_1,BS1,Secondary_forest,5.6,0.44,15.44,7.21,0.12,23.21,2,NA,1.7,7,46,50,0.1,2.29,0.27,8.5,0.25,9.2
11/2/2020,2020,Secondary_forest_2,BS2,Secondary_forest,5.5,0.65,20.48,10.12,0.1,31.35,2,NA,2.8,9,34,52,0.1,2.67,0.27,9.9,0.23,10.4
11/2/2020,2020,H1,H1,H,6.8,0.11,25.08,13.56,0.17,38.92,0.3,1,0.8,6,16,6,0.1,1.03,0.14,7.4,0.29,10.5
11/2/2020,2020,H10,H10,H,5.7,0.71,14.01,9.73,0.11,24.56,3,NA,4.2,10,35,104,0.1,1.58,0.19,8.3,0.27,9.9
11/2/2020,2020,H2,H2,H,6.8,0.12,29.1,19.93,0.23,49.38,0.2,2,1.7,10,20,9,0.1,1.34,0.16,8.4,0.26,10
11/2/2020,2020,H3,H3,H,6.4,0.13,22.11,15.66,0.33,38.23,0.3,7,2.4,7,26,9,0.1,1.19,0.15,7.9,0.22,10
11/2/2020,2020,H4,H4,H,6.5,0.12,20.54,16.6,0.17,37.43,0.3,NA,2,7,20,17,0.1,1.05,0.12,8.8,0.23,9.9
11/2/2020,2020,H5,H5,H,6.2,0.23,21.19,17.7,0.17,39.29,0.6,NA,1.4,10,15,19,0.1,1.25,0.15,8.3,0.24,9.5
11/2/2020,2020,H6,H6,H,5.8,0.5,19.37,13.68,0.13,33.68,2,4,3.1,8,52,28,0.1,1.98,0.23,8.6,NA,NA
11/2/2020,2020,H7,H7,H,6.6,0.11,22.45,16.31,0.16,39.03,0.3,1,0.7,6,16,6,0.1,1.12,0.13,8.6,NA,NA
11/2/2020,2020,H8,H8,H,5.8,1.01,23.31,10.02,0.13,34.47,3,NA,0.9,6,31,22,0.1,1.52,0.19,8,NA,NA
11/2/2020,2020,H9,H9,H,5.4,1.13,14.49,8.63,0.07,24.32,5,NA,3.6,11,40,92,0.1,1.79,0.21,8.5,NA,NA
11/2/2020,2020,L1,L1,L,6.8,0.1,25.85,15.85,0.19,41.99,0.2,1,0.5,9,18,12,0.1,1.35,0.15,9,NA,NA
11/2/2020,2020,L10,L10,L,5.9,0.31,15.36,8.9,0.1,24.67,1,NA,2.8,7,22,52,0.1,1.29,0.17,7.6,NA,NA
11/2/2020,2020,L2,L2,L,6.3,0.11,19.48,15.9,0.17,35.66,0.3,NA,2.2,9,23,22,0.1,1.72,0.19,9.1,NA,NA
11/2/2020,2020,L3,L3,L,6.5,0.09,20.65,17.97,0.18,38.89,0.2,NA,1.3,8,13,10,0.1,1.34,0.16,8.4,NA,NA
11/2/2020,2020,L4,L4,L,6.1,0.34,19.68,12.85,0.12,32.99,1,NA,1.1,8,17,12,0.1,1.53,0.18,8.5,NA,NA
11/2/2020,2020,L5,L5,L,6.2,0.16,20.83,16.9,0.2,38.09,0.4,1,2.8,10,16,21,0.1,1.38,0.16,8.6,0.62,11
11/2/2020,2020,L6,L6,L,6.1,0.23,21.03,15.52,0.19,36.97,0.6,1,2.2,9,19,18,0.1,1.28,0.15,8.5,0.17,7.6
11/2/2020,2020,L7,L7,L,6,0.14,20.97,16.36,0.2,37.67,0.4,1,2.3,10,26,22,0.1,1.65,0.19,8.7,0.19,8.5
11/2/2020,2020,L8,L8,L,6,0.59,21.1,14.37,0.15,36.21,2,NA,1.4,9,25,25,0.1,1.48,0.18,8.2,0.12,10
11/2/2020,2020,L9,L9,L,6.2,0.13,20.29,15.08,0.18,35.68,0.4,NA,1.3,9,18,16,0.1,1.23,0.15,8.2,0.19,8.6
11/2/2020,2020,M1,M1,M,7,0.09,23.22,17.25,0.18,40.74,0.2,3,1.8,7,15,8,0.1,1.09,0.12,9.1,0.19,7.9
11/2/2020,2020,M10,M10,M,6.4,0.23,22.79,17.32,0.18,40.52,0.6,NA,1.2,10,15,8,"<0,1",0.98,0.11,8.9,0.2,8.6
11/2/2020,2020,M2,M2,M,6.5,0.13,20.81,17,0.2,38.14,0.3,1,1.1,7,17,10,0.1,1.14,0.13,8.8,0.3,9.4
11/2/2020,2020,M3,M3,M,6.1,0.44,22.13,15.07,0.14,37.78,1,NA,0.6,8,17,12,"<0,1",1.15,0.16,7.2,0.25,9.7
11/2/2020,2020,M4,M4,M,6.3,0.17,21.48,12.74,0.12,34.51,0.5,NA,0.8,8,23,12,0.1,1.24,0.15,8.3,0.25,8.7
11/2/2020,2020,M5,M5,M,6.2,0.15,17.66,13.92,0.11,31.84,0.5,NA,1.3,8,29,17,0.1,1.66,0.18,9.2,0.19,7.6
11/2/2020,2020,M6,M6,M,5.6,0.71,12.91,8.52,0.09,22.23,3,NA,2.8,8,28,79,0.1,1.25,0.16,7.8,0.19,9.5
11/2/2020,2020,M7,M7,M,6.3,0.33,26.62,9.94,0.14,37.03,0.9,NA,1.7,8,29,15,0.1,1.5,0.19,7.9,0.21,7.7
11/2/2020,2020,M8,M8,M,6.2,0.32,25.8,12.65,0.15,38.92,0.8,NA,1.8,9,22,15,0.1,1.43,0.18,7.9,0.16,8.3
11/2/2020,2020,M9,M9,M,5.8,0.44,15.82,8.52,0.09,24.87,2,NA,2.9,7,26,59,"<0,1",1.42,0.18,7.9,0.16,7.8
11/2/2020,2020,N1,N1,N,6.8,0.12,29.34,16.87,0.23,46.56,0.3,2,1.5,10,18,12,0.1,1.65,0.18,9.2,0.32,8.6
11/2/2020,2020,N10,N10,N,5.7,0.48,18.77,11.17,0.1,30.52,2,NA,3.4,8,23,63,0.1,2.19,0.24,9.1,0.28,9.4
11/2/2020,2020,N2,N2,N,6.6,0.12,29.36,14.11,0.16,43.75,0.3,NA,1.3,9,13,5,0.1,1.19,0.15,7.9,0.24,9.5
11/2/2020,2020,N3,N3,N,7,0.1,25.91,16.24,0.19,42.44,0.2,2,1.5,8,12,2,0.1,1.19,0.14,8.5,0.23,9.3
11/2/2020,2020,N4,N4,N,5.6,0.38,19.02,13.17,0.15,32.72,1,NA,3.8,10,36,62,0.1,2.38,0.24,9.9,0.3,9.1
11/2/2020,2020,N5,N5,N,5.9,0.16,23.45,15.7,0.21,39.52,0.4,2,3.5,9,22,39,0.1,1.56,0.18,8.7,0.27,8.5
11/2/2020,2020,N6,N6,N,6.4,0.14,23.64,15.24,0.16,39.18,0.4,2,2.8,9,19,17,0.1,1.26,0.13,9.7,0.19,8.2
11/2/2020,2020,N7,N7,N,6,0.14,27.47,17.83,0.21,45.65,0.3,2,3.4,15,34,28,0.2,2.13,0.23,9.3,0.19,9.6
11/2/2020,2020,N8,N8,N,6.7,0.09,25.49,16.32,0.14,42.04,0.2,1,1.3,9,19,9,0.1,1.31,0.14,9.4,0.16,10
11/2/2020,2020,N9,N9,N,5.6,0.97,14.61,10.12,0.07,25.77,4,NA,3.9,10,30,101,"<0,1",1.52,0.18,8.4,0.24,8.1
Feb-21,2021,N8,N8,N,6.4,0.08,25.42,21.31,0.14,46.95,0.2,2,0.8,8,30,7,0.1,1.94,0.2,9.7,,
Feb-21,2021,N9,N9,N,5.4,1.63,12.62,8.51,0.07,22.83,7,ND,3.5,8,111,74,0.1,1.8,0.23,7.8,,
Feb-21,2021,L10,L10,L,5.8,0.44,14.48,9.18,0.08,24.18,2,ND,1.9,6,44,51,"<0,1",1.41,0.19,7.4,,
Feb-21,2021,N6,N6,N,6.1,0.18,18.95,15.4,0.12,34.65,0.5,2,1.8,8,28,15,0.1,1.6,0.2,8,,
Feb-21,2021,N10,N10,N,5.5,0.64,18.95,10.23,0.1,29.92,2,ND,2.4,5,40,46,0.1,2.53,0.3,8.4,,
Feb-21,2021,L6,L6,L,5.8,0.29,21.36,16.57,0.16,38.38,0.8,1,1.7,6,31,30,0.1,1.84,0.22,8.4,,
Feb-21,2021,L7,L7,L,6,0.12,23.57,21.15,0.16,45,0.3,3,2,9,29,8,0.1,1.46,0.19,7.7,,
Feb-21,2021,L4,L4,L,6.1,0.43,22.45,13.87,0.09,36.84,1,ND,0.2,6,21,3,"<0,1",1.14,0.16,7.1,,
Feb-21,2021,L9,L9,L,6.2,0.2,23.21,19.93,0.13,43.47,0.5,1,1.1,8,21,3,0.1,1.37,0.18,7.6,,
Feb-21,2021,L8,L8,L,5.4,0.51,19.53,14.55,0.12,34.71,2,4,3.2,9,126,28,0.1,2.73,0.32,8.5,,
Feb-21,2021,L1,L1,L,6.3,0.12,26.54,18.71,0.12,45.49,0.3,2,0.4,9,29,6,0.1,1.95,0.22,8.9,,
Feb-21,2021,L5,L5,L,5.9,0.22,20.96,18.75,0.13,40.06,0.5,2,1.5,7,16,14,0.1,1.21,0.16,7.6,,
Feb-21,2021,L3,L3,L,6.1,0.12,21.41,21.5,0.14,43.17,0.3,1,1.2,9,34,13,0.1,2.51,0.27,9.3,,
Feb-21,2021,L2,L2,L,6,0.16,19.25,17.27,0.16,36.84,0.4,2,1.9,9,41,21,0.1,2.29,0.26,8.8,,
Feb-21,2021,H6,H6,H,5.7,0.86,17.22,11.89,0.11,30.08,3,4,3.3,5,75,15,"<0,1",2.68,0.31,8.6,,
Feb-21,2021,H1,H1,H,6.4,0.11,25.64,15.86,0.1,41.71,0.3,1,0.9,5,26,5,0.1,1.38,0.18,7.7,,
Feb-21,2021,H10,H10,H,5.5,1.18,12.39,9.1,0.08,22.75,5,ND,4.2,7,105,90,"<0,1",1.95,0.24,8.1,,
Feb-21,2021,H9,H9,H,5.4,1.74,13.91,8.76,0.07,24.48,7,ND,4.5,8,79,76,0.1,1.96,0.25,7.8,,
Feb-21,2021,H8,H8,H,5.6,1.05,24.76,10.98,0.13,36.92,3,ND,1.1,4,48,23,"<0,1",1.85,0.22,8.4,,
Feb-21,2021,M8,M8,M,5.2,1.95,13.27,8.12,0.09,23.43,8,1,4.8,7,112,98,0.1,2.2,0.26,8.5,,
Feb-21,2021,M10,M10,M,5.6,0.36,25.78,12.23,0.14,38.51,0.9,1,2,8,54,17,0.1,1.95,0.22,8.9,,
Feb-21,2021,M6,M6,M,5.7,0.5,23.94,15.06,0.15,39.65,1,1,2.5,8,47,13,0.1,1.89,0.22,8.6,,
Feb-21,2021,M4,M4,M,6.2,0.19,23.47,15.42,0.13,39.21,0.5,1,0.6,7,32,13,0.1,1.54,0.2,7.7,,
Feb-21,2021,M9,M9,M,5.6,0.72,14.04,7.94,0.08,22.78,3,ND,2.8,6,57,54,"<0,1",1.77,0.21,8.4,,
Feb-21,2021,H7,H7,H,6.1,0.12,24.89,20.43,0.14,45.58,0.3,3,1.7,12,62,11,0.1,2.78,0.29,9.6,,
Feb-21,2021,N4,N4,N,6,0.24,18.23,14.82,0.11,33.4,0.7,1,1.8,7,40,24,0.1,1.75,0.21,8.3,,
Feb-21,2021,H3,H3,H,6.4,0.1,26.05,22.63,0.2,48.98,0.2,3,2.9,10,39,10,0.1,2.18,0.24,9.1,,
Feb-21,2021,H5,H5,H,6.3,0.15,18.18,19.78,0.11,38.22,0.4,1,1.3,7,21,8,0.1,1.83,0.22,8.3,,
Feb-21,2021,H2,H2,H,7,0.09,28.79,23.99,0.18,53.05,0.2,2,0.6,9,21,3,0.1,1.42,0.18,7.9,,
Feb-21,2021,H4,H4,H,5.8,0.36,18.2,16.59,0.12,35.27,1,2,2.7,8,59,24,0.1,1.96,0.21,9.3,,
Feb-21,2021,M7,M7,M,6.4,0.28,25.86,22.18,0.13,48.45,0.6,1,1.6,9,19,4,"<0,1",1.1,0.14,7.9,,
Feb-21,2021,M1,M1,M,6.7,0.11,25.81,21.44,0.14,47.5,0.2,3,0.6,7,17,3,0.1,1.09,0.15,7.3,,
Feb-21,2021,M3,M3,M,5.9,0.54,20.95,17.79,0.11,39.39,1,ND,1.7,8,24,14,"<0,1",1.54,0.2,7.7,,
Feb-21,2021,M5,M5,M,6,0.15,20.66,17.79,0.12,38.72,0.4,2,2.4,11,52,11,0.1,2.15,0.21,10.2,,
Feb-21,2021,M2,M2,M,6.1,0.16,20.08,19.62,0.15,40.01,0.4,1,2.2,9,31,10,0.1,1.76,0.19,9.3,,
Feb-21,2021,BP2,BP2,Primary Forest,6.5,0.1,21.64,12.07,0.15,33.96,0.3,ND,1.2,11,29,7,"<0,1",1.57,0.2,7.8,,
Feb-21,2021,BP1,BP1,Primary Forest,6,0.43,19.88,10.73,0.34,31.38,1,ND,1,7,33,19,"<0,1",1.54,0.2,7.7,,
Feb-21,2021,BP3,BP3,Primary Forest,6.1,0.2,22.52,11.72,0.14,34.58,0.6,ND,1.4,11,32,16,"<0,1",1.71,0.22,7.8,,
Feb-21,2021,BS1,BS1,Secondary Forest,6,0.13,19.09,8.45,0.26,27.93,0.5,1,1.4,5,42,15,0.1,2.58,0.29,8.9,,
Feb-21,2021,BS2,BS2,Secondary Forest,5.5,0.46,16.22,9.29,0.12,26.09,2,2,5.4,5,81,32,0.1,3.22,0.34,9.5,,
Feb-21,2021,N1,N1,N,6.7,0.12,30.67,21.92,0.27,52.98,0.2,3,0.8,7,16,2,0.1,1.26,0.16,7.9,,
Feb-21,2021,N5,N5,N,5.6,0.21,20.21,16.43,0.18,37.03,0.6,4,3.5,10,46,44,0.1,2.47,0.27,9.1,,
Feb-21,2021,N7,N7,N,6,0.11,28.07,23.26,0.21,51.65,0.2,5,2.8,13,47,20,0.1,2.59,0.27,9.6,,
Feb-21,2021,BM1,BM1,Mature Forest,5.7,0.12,4.64,1.89,0.09,6.74,2,ND,3.7,11,55,69,0.1,2.43,0.3,8.1,,
